State of the Academy 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1. What class are you in?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,,2019,,2020,,2021,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",6.06%,12,17.17%,34,50.51%,100,26.26%,52,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",3.37%,13,13.99%,54,48.19%,186,34.46%,133,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,2.78%,29,14.19%,148,50.91%,531,32.12%,335,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q46. Have you ever been bullied or hazed while at Andover?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Yes, bullied",,"Yes, hazed",,"Yes, bullied and hazed",,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,5.88%,27,1.74%,8,1.31%,6,91.07%,418,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",11.11%,22,2.53%,5,4.04%,8,82.32%,163,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",9.84%,38,4.92%,19,2.85%,11,82.38%,318,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,8.34%,87,3.07%,32,2.40%,25,86.19%,899,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q47. Approximately how many hours a day do you spend on social media?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5 hours or more,,4 hours,,3 hours,,2 hours,,1 hour or less,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,1.74%,8,5.01%,23,17.43%,80,38.13%,175,37.69%,173,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",3.03%,6,5.05%,10,19.19%,38,32.83%,65,39.90%,79,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",3.89%,15,8.55%,33,22.28%,86,38.08%,147,27.20%,105,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,2.78%,29,6.33%,66,19.56%,204,37.10%,387,34.23%,357,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q48. What social media platforms do you use at Andover? Check all that apply. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Facebook,,Instagram,,LinkedIn,,Snapchat,,Twitter,,Tinder,,Not applicable,,Other (please specify),,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,55.34%,254,83.01%,381,10.68%,49,78.87%,362,18.30%,84,3.92%,18,5.66%,26,6.75%,31,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",59.60%,118,84.85%,168,8.08%,16,76.77%,152,25.25%,50,5.05%,10,4.04%,8,9.60%,19,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",62.44%,241,92.23%,356,12.95%,50,93.26%,360,27.20%,105,10.62%,41,1.81%,7,4.92%,19,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,58.77%,613,86.77%,905,11.03%,115,83.80%,874,22.91%,239,6.62%,69,3.93%,41,6.62%,69,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q49. Do you skip meals in order to get more sleep or do school work?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Yes, regularly",,"Yes, sometimes",,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,22.22%,102,36.38%,167,41.39%,190,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",28.79%,57,38.38%,76,32.83%,65,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",33.94%,131,34.46%,133,31.61%,122,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,27.80%,290,36.05%,376,36.15%,377,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q50. Have you ever engaged in sexual activity? Check all that apply.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Anal,,Digital,,Oral,,Vaginal,,Not Applicable,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,3.92%,18,31.81%,146,31.37%,144,20.92%,96,64.05%,294,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",3.54%,7,32.32%,64,32.32%,64,22.22%,44,62.63%,124,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",8.29%,32,52.07%,201,56.74%,219,38.86%,150,39.64%,153,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,5.47%,57,39.41%,411,40.94%,427,27.80%,290,54.75%,571,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q51. How many people have you engaged in sexual activity with?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10 or more,,9,,8,,7,,6,,5,,4,,3,,2,,1,,0,,Total,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,3.27%,15,0.65%,3,1.53%,7,1.31%,6,1.74%,8,2.61%,12,3.70%,17,3.92%,18,6.75%,31,13.29%,61,61.22%,281,44.01%,459,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",4.04%,8,0.00%,0,1.01%,2,0.51%,1,2.02%,4,1.52%,3,3.03%,6,2.53%,5,11.62%,23,15.15%,30,58.59%,116,18.98%,198,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",9.07%,35,1.30%,5,1.81%,7,2.07%,8,3.37%,13,5.70%,22,6.22%,24,8.03%,31,12.18%,47,15.03%,58,35.23%,136,37.01%,386,,,,,,,,,,,,,,,,,,,,
Total,5.56%,58,0.77%,8,1.53%,16,1.44%,15,2.40%,25,3.55%,37,4.51%,47,5.18%,54,9.68%,101,14.29%,149,51.10%,533,100.00%,1043,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q52. Do you believe that there is a hook-up culture at Andover?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,92.16%,423,7.84%,36,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",92.93%,184,7.07%,14,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",88.34%,341,11.66%,45,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,90.89%,948,9.11%,95,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q53. Have you ever felt pressure by your peers to participate in Andover's hook-up culture?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Not applicable (Andover does not have a hook-up culture),,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,32.46%,149,62.53%,287,5.01%,23,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",41.41%,82,53.54%,106,5.05%,10,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",43.78%,169,47.93%,185,8.29%,32,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,38.35%,400,55.42%,578,6.23%,65,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q54. Have you ever felt pressured by a partner to engage in sexual activity?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Not applicable,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,15.90%,73,49.24%,226,34.86%,160,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",16.67%,33,51.52%,102,31.82%,63,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",25.91%,100,56.48%,218,17.62%,68,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,19.75%,206,52.35%,546,27.90%,291,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q55. Do you consistently ask your partner for verbal consent?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Not applicable,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,30.94%,142,9.59%,44,59.48%,273,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",36.36%,72,9.60%,19,54.04%,107,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",46.11%,178,18.91%,73,34.97%,135,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,37.58%,392,13.04%,136,49.38%,515,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q56. Do you use barrier method protection while engaging in sexual activity? (Check all that apply),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Yes, condoms",,"Yes, dental dams",,"Yes, other",,No,,Not applicable,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,21.13%,97,0.00%,0,1.09%,5,7.41%,34,72.33%,332,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",21.21%,42,0.51%,1,1.52%,3,9.09%,18,70.71%,140,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",36.53%,141,0.52%,2,3.89%,15,17.62%,68,48.45%,187,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,26.85%,280,0.29%,3,2.21%,23,11.51%,120,63.18%,659,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q57. Are you in a committed relationship?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,15.47%,71,84.53%,388,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",15.66%,31,84.34%,167,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",20.98%,81,79.02%,305,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,17.55%,183,82.45%,860,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q58. Have you ever hooked up with someone you were not in a committed relationship with?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,39.87%,183,60.13%,276,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",40.91%,81,59.09%,117,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",68.39%,264,31.61%,122,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,50.62%,528,49.38%,515,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q59. Do you think that the current sexual education curriculum at Andover is adequate?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,71.02%,326,28.98%,133,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",61.11%,121,38.89%,77,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",63.47%,245,36.53%,141,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,66.35%,692,33.65%,351,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q60. Have you ever had an illegal room visit?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,29.63%,136,70.37%,323,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",30.30%,60,69.70%,138,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",47.67%,184,52.33%,202,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,36.43%,380,63.57%,663,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q61. Have you ever masturbated?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,63.62%,292,36.38%,167,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",68.18%,135,31.82%,63,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",84.46%,326,15.54%,60,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,72.20%,753,27.80%,290,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q62. Have you ever watched pornography?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,54.90%,252,45.10%,207,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",67.17%,133,32.83%,65,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",78.76%,304,21.24%,82,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,66.06%,689,33.94%,354,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q63. Have you ever sent a sexually explicit photo?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,24.40%,112,75.60%,347,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",24.24%,48,75.76%,150,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",42.23%,163,57.77%,223,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,30.97%,323,69.03%,720,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q64. Have you ever received a sexually explicit photo?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,38.78%,178,61.22%,281,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",42.42%,84,57.58%,114,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",62.44%,241,37.56%,145,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,48.23%,503,51.77%,540,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q65. Have you ever been sexually harassed (received unwanted sexual advances or obscene sexual remarks)?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Yes, on and off campus",,"Yes, on campus",,"Yes, off campus",,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,8.93%,41,3.27%,15,20.92%,96,66.88%,307,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",11.62%,23,2.53%,5,20.71%,41,65.15%,129,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",15.80%,61,3.37%,13,18.39%,71,62.44%,241,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,11.98%,125,3.16%,33,19.94%,208,64.91%,677,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q66. Have you ever been sexually assaulted (received unwanted, nonconsensual sexual contact)?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Yes, on and off campus",,"Yes, on campus",,"Yes, off campus",,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,0.65%,3,2.83%,13,6.97%,32,89.54%,411,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",4.04%,8,3.03%,6,8.08%,16,84.85%,168,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",4.40%,17,4.66%,18,11.14%,43,79.79%,308,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,2.68%,28,3.55%,37,8.72%,91,85.04%,887,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q67. Have you ever contracted a sexually transmitted infection (STI) or sexually transmitted disease (STD)?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Yes, before Andover",,"Yes, at Andover",,"Yes, both before and at Andover",,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,0.22%,1,0.22%,1,0.22%,1,99.35%,456,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",0.00%,0,0.00%,0,0.51%,1,99.49%,197,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",1.55%,6,0.26%,1,0.26%,1,97.93%,378,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,0.67%,7,0.19%,2,0.29%,3,98.85%,1031,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q68. Have you ever consumed alcohol?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Yes, on and off campus",,"Yes, on campus",,"Yes, off campus",,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,17.43%,80,0.87%,4,40.74%,187,40.96%,188,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",12.12%,24,0.00%,0,49.49%,98,38.38%,76,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",43.78%,169,0.78%,3,34.97%,135,20.47%,79,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
